x,y,z,rad,r,g,b,i,vx,vy,vz
0.112036,0.528529,-0.00161915,0.0727,0.783016,0.589611,0.198103,0.783016,0,0,0
0.165263,0.527729,-0.15637,0.0898,0.531481,0.315272,0.786214,0.531481,0,0,0
-0.250956,-0.3691,-0.654625,0.0504,0.12182,0.982419,0.141468,0.12182,0,0,0
-0.0588523,-0.365407,0.429838,0.0553,0.468844,0.0965784,0.877985,0.468844,0,0,0
0.0827642,0.533038,-0.301041,0.0507,0.681655,0.706379,0.190722,0.681655,0,0,0
-0.270151,0.038673,0.0751065,0.0739,0.599399,0.58861,0.542456,0.599399,0,0,0
-0.113525,0.651913,0.0373208,0.0801,0.186376,0.776566,0.601839,0.186376,0,0,0
-0.0183751,-0.641314,-0.0828918,0.0778,0.585108,0.312756,0.74822,0.585108,0,0,0
-0.0347263,0.701493,-0.00774086,0.0944,0.63396,0.518579,0.573734,0.63396,0,0,0
-0.621416,0.48594,0.128212,0.0664,0.0793907,0.424019,0.902167,0.0793907,0,0,0
0.430111,0.249543,0.147211,0.082,0.501963,0.565445,0.65445,0.501963,0,0,0
-0.452474,-0.0438056,0.432944,0.0934,0.737469,0.561951,0.374634,0.737469,0,0,0
0.0518385,-0.0753793,0.402145,0.0546,0.773579,0.299375,0.558524,0.773579,0,0,0
-0.170946,-0.56826,-0.10167,0.0518,0.775542,0.376914,0.506429,0.775542,0,0,0
0.112969,0.475688,0.112871,0.0786,0.536721,0.82193,0.190688,0.536721,0,0,0
0.534568,-0.377513,-0.221446,0.0851,0.788337,0.0788337,0.610173,0.788337,0,0,0
0.672263,0.454885,0.0465567,0.0622,0.293759,0.666949,0.684752,0.293759,0,0,0
0.689071,0.303939,0.38506,0.058,0.401062,0.915666,0.0265543,0.401062,0,0,0
0.064951,0.124928,0.525885,0.0808,0.814478,0.0985518,0.571763,0.814478,0,0,0
-0.595019,-0.626715,0.147114,0.0684,0.393018,0.588113,0.706867,0.393018,0,0,0
0.00496736,-0.872764,-0.00776406,0.075,0.264404,0.501626,0.823688,0.264404,0,0,0
-0.146836,0.493537,-0.129505,0.0873,0.424721,0.376981,0.823102,0.424721,0,0,0
-0.00202308,0.340942,0.81339,0.0974,0.173485,0.980141,0.0960538,0.173485,0,0,0
-0.0324202,-0.356065,0.151021,0.0698,0.125874,0.856287,0.500928,0.125874,0,0,0
0.0610082,0.340139,-0.565557,0.0861,0.709753,0.521668,0.473405,0.709753,0,0,0
-0.384898,0.52227,0.226867,0.0994,0.302153,0.150606,0.941287,0.302153,0,0,0
-0.249532,-0.266955,0.369248,0.0792,0.319577,0.356452,0.877959,0.319577,0,0,0
0.516591,-0.209981,0.658832,0.0729,0.197669,0.973739,0.112954,0.197669,0,0,0
-0.65361,0.302532,0.240169,0.0851,0.583985,0.748699,0.313705,0.583985,0,0,0
0.7762,-0.231785,-0.351126,0.077,0.938415,0.137009,0.317184,0.938415,0,0,0
